Time,Toa,Tiaref,P_EDC,P_LDC,qin,qinf,qve,qdhw,qdc,m_MS,m_Bu
885600,7.7,14.6,0.47645,30,414089.7881,522917.2667,728325.36,147000,156900,26.73665,50
889200,7.9,14.2,0.47645,30,348089.9584,477446.2,719500.32,294000,156600,26.640873,50
892800,7.86,14.28,0.47645,30,337466.2414,486540.4133,788750.928,441000,155200,26.638868,50
896400,7.92,14.16,0.47645,30,392841.1937,472899.0933,842220.288,646800,129200,26.598778,50
900000,7.95,14.1,0.47645,30,486505.4968,466078.4333,830072.88,646800,145100,26.48233,50
903600,8.28,13.44,0.47645,30,568679.7602,391051.1733,812526.624,1029000,154600,26.205513,50
907200,8.64,12.72,0.47645,30,592799.0723,309203.2533,677763.072,1176000,151200,25.910795,50
910800,9.01,11.98,0.47645,30,540972.283,225081.78,503650.224,1234800,147000,25.531984,50
914400,9.72,10.56,0.47645,30,435460.2389,63659.49333,142446.528,1234800,148500,25.148397,50
918000,9.94,10.12,0.47645,30,319202.5567,13641.32,29901.312,1176000,165000,25.045399,50
921600,9.9,10.2,0.47645,30,231435.0903,22735.53333,47239.92,1029000,157900,25.226269,50
925200,9.24,11.52,0.47645,30,190012.2741,172790.0533,339296.832,882000,149200,25.46351,50
928800,9.43,11.14,0.47645,30,185739.9341,129592.54,239677.704,735000,148100,25.367592,50
932400,9.54,10.92,0.47645,30,197804.2622,104583.4533,181484.352,588000,141800,25.342052,50
936000,9.43,11.14,0.47645,30,208466.8537,129592.54,210087.864,441000,155500,25.476461,50
939600,9.1,11.8,0.47645,30,209227.1552,204619.8,317701.44,352800,148500,25.649921,50
943200,9.04,11.92,0.47645,30,202374.0691,218261.12,323930.88,264600,126600,25.697315,50
946800,9,12,0.47645,30,194544.0198,227355.3333,321854.4,176400,139700,25.733349,50
950400,8.94,12.12,0.47645,30,191269.4181,240996.6533,341165.664,176400,149000,25.807896,50
954000,8.78,12.44,0.47645,30,196337.4749,277373.5067,391395.7152,170520,140800,25.961554,50
957600,8.52,12.96,0.47645,30,210443.1054,336485.8933,473271.3216,164640,138400,26.154045,50
961200,8.32,13.36,0.47645,30,229708.6711,381956.96,535482.6624,158760,139500,26.309788,50
964800,8.16,13.68,0.47645,30,247368.1023,418333.8133,584570.6496,152880,138800,26.463186,50
968400,7.94,14.12,0.47645,30,256029.6156,468351.9867,654464.9664,152880,140400,26.595621,50
972000,7.9,14.2,0.47645,30,250751.5705,477446.2,664992.72,147000,138200,26.53477,50
975600,8.19,13.62,0.47645,30,234295.3406,411513.1533,620140.752,294000,136500,25.909159,50
979200,9.82,10.36,0.47645,30,216140.7372,40923.96,66343.536,441000,144600,25.152521,50
982800,9.89,10.22,0.47645,30,206606.6679,25009.08667,44540.496,646800,136400,25.123617,50
986400,9.66,10.68,0.47645,30,212434.9468,77300.81333,151790.688,882000,141000,25.211367,50
990000,9.7,10.6,0.47645,30,231564.1444,68206.6,141719.76,1029000,151800,25.004808,50
993600,10.49,10.49,0.47645,30,253604.4387,0,0,1176000,151500,24.545364,50
997200,11.24,11.24,0.47645,30,267477.1067,0,0,1234800,158600,24.25242,50
1000800,11.43,11.43,0.47645,30,266232.578,0,0,1234800,166300,24.154598,50
1004400,11.65,11.65,0.47645,30,250339.5492,0,0,1176000,178600,24.069248,50
1008000,11.83,11.83,0.47645,30,227794.5144,0,0,1029000,184800,24.00474,50
1011600,11.98,11.98,0.47645,30,207486.3266,0,0,882000,189300,23.963192,50
1015200,12.04,12.04,0.47645,30,195098.6092,0,0,735000,177800,23.929636,50
1018800,12.22,12.22,0.47645,30,191881.1012,0,0,588000,169200,23.90617,50
1022400,12.11,12.11,0.47645,30,194356.0442,0,0,441000,175400,23.929222,50
1026000,12.08,12.08,0.47645,30,198265.2743,0,0,352800,167500,23.969227,50
1029600,11.8,11.8,0.47645,30,201022.9884,0,0,264600,174500,24.044907,50
1033200,11.7,11.7,0.47645,30,201688.7898,0,0,176400,172000,24.086954,50
1036800,11.59,11.59,0.47645,30,201093.5393,0,0,176400,166600,24.134987,50
1040400,11.46,11.46,0.47645,30,200340.81,0,0,170520,175200,24.199251,50
1044000,11.28,11.28,0.47645,30,199870.5647,0,0,164640,183300,24.274624,50
1047600,11.15,11.15,0.47645,30,199789.1206,0,0,158760,184800,24.351511,50
1051200,10.95,10.95,0.47645,30,199894.6071,0,0,152880,186400,24.428635,50
1054800,10.89,10.89,0.47645,30,199972.7809,0,0,152880,186000,24.474113,50
1058400,10.77,10.77,0.47645,30,200004.8307,0,0,147000,183300,24.52415,50
1062000,10.73,10.73,0.47645,30,200007.2213,0,0,294000,167400,24.481655,50
1065600,11.03,11.03,0.47645,30,199998.7923,0,0,441000,179400,24.341509,50
1069200,11.26,11.26,0.47645,30,199998.0307,0,0,646800,188100,24.24694,50
1072800,11.38,11.38,0.47645,30,200000.1232,0,0,882000,190800,24.13061,50
1076400,11.91,11.91,0.47645,30,200000.2125,0,0,1029000,196400,23.927105,50
1080000,12.6,12.6,0.47645,30,200000,0,0,1176000,186400,23.763035,50
1083600,13.27,13.27,0.47645,30,200000,0,0,1234800,187300,23.704185,50
1087200,13.86,13.86,0.47645,30,200000,0,0,1234800,189300,23.72167,50
1090800,14.12,14.12,0.47645,30,200000,0,0,1176000,202000,23.761656,50
1094400,14.45,14.45,0.47645,30,200000,0,0,1029000,183400,23.796959,50
1098000,14.38,14.38,0.47645,30,200000,0,0,882000,182800,23.745623,50
1101600,13.55,13.55,0.47645,30,200000,0,0,735000,182300,23.700394,50
1105200,13.58,13.58,0.47645,30,200000,0,0,588000,185600,23.703373,50
1108800,13.21,13.21,0.47645,30,200000,0,0,441000,186700,23.737524,50
1112400,12.56,12.56,0.47645,30,200000,0,0,352800,188100,23.827824,50
1116000,12.27,12.27,0.47645,30,200000,0,0,264600,196600,23.88852,50
1119600,12.16,12.16,0.47645,30,200000,0,0,176400,182000,23.945553,50
1123200,11.85,11.85,0.47645,30,200000,0,0,176400,187600,24.037912,50
1126800,11.66,11.66,0.47645,30,200000,0,0,173460,189200,24.107159,50
1130400,11.52,11.52,0.47645,30,200000,0,0,170520,188400,24.149794,50
1134000,11.49,11.49,0.47645,30,200000,0,0,167580,188400,24.179207,50
1137600,11.36,11.36,0.47645,30,200000,0,0,164640,187500,24.296076,50
1141200,10.89,10.89,0.47645,30,200000,0,0,164640,186000,24.534763,50
1144800,10.44,10.44,0.47645,30,200000,0,0,158760,185000,24.722864,50
1148400,10.35,10.35,0.47645,30,200000,0,0,155820,182300,24.801556,50
1152000,10.18,10.18,0.47645,30,200000,0,0,188160,164900,24.881653,50
1155600,10.13,10.13,0.47645,30,200000,0,0,220500,154300,24.870773,50
1159200,10.28,10.28,0.47645,30,200000,0,0,252840,145600,24.818533,50
1162800,10.25,10.25,0.47645,30,200000,0,0,285180,149000,24.786095,50
1166400,10.44,10.44,0.47645,30,200000,0,0,317520,155200,24.634748,50
1170000,10.82,10.82,0.47645,30,200000,0,0,349860,170400,24.463373,50
1173600,10.99,10.99,0.47645,30,200000,0,0,364560,185000,24.310968,50
1177200,11.51,11.51,0.47645,30,200000,0,0,379260,188400,24.170582,50
1180800,11.42,11.42,0.47645,30,200000,0,0,393960,175300,24.148254,50
1184400,11.69,11.69,0.47645,30,200000,0,0,408660,172700,24.070635,50
1188000,11.75,11.75,0.47645,30,200000,0,0,370440,171600,24.01694,50
1191600,12.03,12.03,0.47645,30,200000,0,0,332220,185400,23.948978,50
1195200,12.08,12.08,0.47645,30,200000,0,0,294000,183800,23.954878,50
